episode,restaurant,city,address,lat,lon,precision,score,tags,video_id,url,transcript_path
23,La Casa Del Rey 40 years of greatness,Commerce City,"7035 E 72nd Ave, Commerce City, CO 80022",39.827301,-104.906344,restaurant,4.5,,f7gmGR-pXhk,https://youtube.com/shorts/f7gmGR-pXhk,transcripts/060_Episode_23_-_La_Casa_Del_Rey_40_years_of_greatness_greenchile_foodie_colorado_sp_f7gmGR-pXhk.txt
22,Las Dalias,Lakewood,"Las Dalias, 7800, West Jewell Avenue, Lakewood, Jefferson County, Colorado, 80232, United States",39.6816863,-105.0842121,restaurant,4.8,,gmDE2qFMWFs,https://youtube.com/shorts/gmDE2qFMWFs,transcripts/061_Episode_22_-_Las_Dalias_gmDE2qFMWFs.txt
21,Maria Elena's,Lakewood,"Maria Elena Mexican Restaurant, West 1st Avenue, Lakewood, Jefferson County, Colorado, 80226, United States",39.7187275,-105.0821269,restaurant,4.7,hatch/NM chilies,luvFO27NX1Y,https://youtube.com/shorts/luvFO27NX1Y,transcripts/062_Episode_21_-_Maria_Elenas_luvFO27NX1Y.txt
20,Senor Burritos,Westminster,"Señor Burritos, Kipling Street, Lakewood, Jefferson County, Colorado, 80215, United States",39.7535407,-105.110016,restaurant,4.4,"vegetarian,pork",xlRaekr0SKk,https://youtube.com/shorts/xlRaekr0SKk,transcripts/063_Episode_20_-_Senor_Burritos_xlRaekr0SKk.txt
19,Big City Roadhouse,Greeley,"1923 59th Ave, Greeley, CO 80634",40.407473,-104.776119,restaurant,3.7,pork,UE6GWFgqLOc,https://youtube.com/shorts/UE6GWFgqLOc,transcripts/064_Episode_19_-_Big_City_Roadhouse_UE6GWFgqLOc.txt
18,El Jefe.,Wheat Ridge,"El Jefe, 2450, West 44th Avenue, Sunnyside, Denver, Colorado, 80211, United States",39.776268,-105.0172202,restaurant,2.5,vegetarian,HTG6OZWcYWk,https://youtube.com/shorts/HTG6OZWcYWk,transcripts/065_Episode_18_-_El_Jefe_greenchile_food_foodreview_HTG6OZWcYWk.txt
17,Alberto's Express,Greeley,"Aunt Helen’s Express, 942, 9th Avenue, Greeley, CO",40.4227132,-104.6923838,restaurant,4.3,pork,9ddEe_ZuQtM,https://youtube.com/shorts/9ddEe_ZuQtM,transcripts/066_Episode_17_-_Albertos_Express_9ddEe_ZuQtM.txt
16,Parkway Cafe,Boulder,"Parkway Cafe, 4700, Pearl Street, Boulder, Boulder County, Colorado, 80301, United States",40.0249477,-105.2432948,restaurant,3.8,gravy-style,VPwWoumiq_k,https://youtube.com/shorts/VPwWoumiq_k,transcripts/067_Episode_16_-_Parkway_Cafe_VPwWoumiq_k.txt
15,Cafe Mexico,Westminster,"Cafe Mexico, 120th Ave MUP, Washington Center, Northglenn, Adams County, Colorado, 80233, United States",39.9135245,-104.9767341,restaurant,4.5,,csu0to6l2qU,https://youtube.com/shorts/csu0to6l2qU,transcripts/068_Episode_15_-_Cafe_Mexico_csu0to6l2qU.txt
14,Santo,Boulder,"Santo, 1265, Alpine Avenue, Washington Village, Boulder, Boulder County, Colorado, 80302, United States",40.0259292,-105.2812294,restaurant,4.0,vegetarian,PGya7xyckSY,https://youtube.com/shorts/PGya7xyckSY,transcripts/069_Episode_14_-_Santo_PGya7xyckSY.txt
13,The Brutal Poodle,Denver,"Brutal Poodle, 1967, South Broadway, Denver, Colorado",39.6809869,-104.9878142,restaurant,4.8,"vegetarian,gluten-free",5lJOSud5hKw,https://youtube.com/shorts/5lJOSud5hKw,transcripts/070_Episode_13_-_The_Brutal_Poodle_5lJOSud5hKw.txt
12,Los Gallitos,Denver,"Los Gallitos Taqueria, 2630, West Alameda Avenue, Denver, Colorado, 80219, United States",39.7109408,-105.0188611,restaurant,3.8,pork,MTBXkeyM3T8,https://youtube.com/shorts/MTBXkeyM3T8,transcripts/071_Episode_12_-_Los_Gallitos_MTBXkeyM3T8.txt
11,Efrain's,Lafayette,"Efrain's, 101, East Cleveland Street, Lafayette, Boulder County, Colorado, 80026, United States",39.9973932,-105.0902091,restaurant,4.8,,ATiM3nk21ek,https://youtube.com/shorts/ATiM3nk21ek,transcripts/072_Episode_11_-_Efrains_ATiM3nk21ek.txt
10,Ana's Mexican Grill,Westminster,"Ana's Mexican Grill, 2821, West 120th Avenue, Westminster, Adams County, Colorado, 80234, United States",39.9147939,-105.0214214,restaurant,4.1,,Z0L8GlTmO7o,https://youtube.com/shorts/Z0L8GlTmO7o,transcripts/073_Episode_10_-_Anas_Mexican_Grill_Z0L8GlTmO7o.txt
9,Chile con Quesadilla,Longmont,"700 Ken Pratt Blvd, Longmont, CO 80501",40.153438,-105.104918,restaurant,4.2,,lsKuhs4biNE,https://youtube.com/shorts/lsKuhs4biNE,transcripts/074_Episode_9_-_Chile_con_Quesadilla_foodie_food_foodreview_greenchile_lsKuhs4biNE.txt
8,Las Palmeras,Longmont,"Las Palmeras, 199, South Main Street, Longmont, Boulder County, Colorado, 80501, United States",40.1551058,-105.1029972,restaurant,3.7,,2J_Yy0juQ7o,https://youtube.com/shorts/2J_Yy0juQ7o,transcripts/075_Episode_8_-_Las_Palmeras_2J_Yy0juQ7o.txt
7,DNVR Bar,Denver,"The DNVR Bar, 2239, East Colfax Avenue, Denver, Colorado, 80206, United States",39.7401929,-104.959954,restaurant,4.6,,0wteaunjvdk,https://youtube.com/shorts/0wteaunjvdk,transcripts/076_Episode_7_-_DNVR_Bar_0wteaunjvdk.txt
6,Chili Shack.,Denver,"2148 Larimer St, Denver, CO 80205",39.754493,-104.990217,restaurant,3.2,vegetarian,wXFOBNdRuro,https://youtube.com/shorts/wXFOBNdRuro,transcripts/077_Episode_6_-_Chili_Shack_foodreview_denvereats_fyp_wXFOBNdRuro.txt
5,The Original Chubby's Denver,Denver,"1231 W 38th Ave, Denver, CO 80211",39.769717,-105.001457,restaurant,4.8,,7Esp5-7Tdao,https://youtube.com/shorts/7Esp5-7Tdao,transcripts/078_Episode_5_-_The_Original_Chubbys_Denver_7Esp5-7Tdao.txt
4,Tamale Kitchen,Broomfield,"Tamale Kitchen, 2045, Sheridan Boulevard, Edgewater, Colorado, 80214, United States",39.7483944,-105.0536587,restaurant,1.8,vegetarian,tiE2v_946Yo,https://youtube.com/shorts/tiE2v_946Yo,transcripts/079_Episode_4_-_Tamale_Kitchen_food_greenchile_foodie_denver_denvereats_tiE2v_946Yo.txt
3,Mudrocks Tap & Tavern,Lewisville,"585 E South Boulder Rd, Louisville, CO 80027",39.987991,-105.136216,restaurant,4.2,,FiuZs7W7WJ8,https://youtube.com/shorts/FiuZs7W7WJ8,transcripts/080_Episode_3_-_Mudrocks_Tap_Tavern_local_greenchile_foodreview_louisvilleco_FiuZs7W7WJ8.txt
2,Old Santa Fe,Lewisville,"592 McCaslin Blvd, Louisville, CO 80027",39.961739,-105.163331,restaurant,4.5,pork,Yxg74Rd6cmU,https://youtube.com/shorts/Yxg74Rd6cmU,transcripts/081_Episode_2_-_Old_Santa_Fe_foodreview_greenchile_colorado_Yxg74Rd6cmU.txt
1,Chico's Mexican Food,Broomfield,"Chico's Mexican Food, 12920, Lowell Boulevard, Broomfield, Colorado, 80020, United States",39.9306416,-105.0338415,restaurant,4.4,gravy-style,n_I4l0SN6E0,https://youtube.com/shorts/n_I4l0SN6E0,transcripts/082_Episode_1_-_Chicos_Mexican_Food_foodreview_greenchile_denver_broomfieldco_n_I4l0SN6E0.txt
